repo,url,stars,year,has_package_swift,description,language,topics,archived,open_issues,iOS,macOS,watchOS,tvOS,visionOS,platform_count
migueldeicaza/SwiftTerm,https://github.com/migueldeicaza/SwiftTerm.git,1125.0,2025.0,True,Xterm/VT100 Terminal emulator in Swift,Swift,"macos, ios, swift, xterm-256color, xterm, uikit, appkit, vt100, sixel, imgcat, terminal-engine, ssh-connection",False,65.0,13.0,,,13.0,1.0,3
mihaelisaev/UIKitPlus,https://github.com/mihaelisaev/UIKitPlus.git,610.0,2025.0,True,🏰 Declarative UIKit with LivePreview for iOS9+ (best alternative to SwiftUI),Swift,"swift, uikit, wrapper, betterthanswiftui",False,19.0,9.0,,,13.0,,2
Mijick/Popups,https://github.com/Mijick/Popups.git,1630.0,2025.0,True,"Popups, popovers, sheets, alerts, toasts, banners, (...) presentation made simple. Written with and for SwiftUI.",Swift,"popup, swift, swift-package-manager, swiftui, swiftui-components, swiftui-framework, alert, toast, ios, ios-swift, swift-library, swift-package, cocoapods, ios-sdk, mobile, swift6, popupview, popupwindow, popup-window, popover",False,22.0,14.0,12.0,7.0,15.0,1.0,5
mischa-hildebrand/AlignedCollectionViewFlowLayout,https://github.com/mischa-hildebrand/AlignedCollectionViewFlowLayout.git,1368.0,2025.0,True,A collection view layout that gives you control over the horizontal and vertical alignment of the cells.,Swift,"ios, uicollectionview, uicollectionviewflowlayout, uicollectionviewlayout, alignment, swift, uikit",False,16.0,,,,,,0
ml-explore/mlx-swift-examples,https://github.com/ml-explore/mlx-swift-examples.git,1983.0,2025.0,True,Examples using MLX Swift,Swift,mlx,False,48.0,16.0,14.0,,,,2
MobileNativeFoundation/Kronos,https://github.com/MobileNativeFoundation/Kronos.git,680.0,2025.0,True,Elegant NTP date library in Swift,Swift,lyft,False,19.0,,,,,,0
MobileNativeFoundation/XCLogParser,https://github.com/MobileNativeFoundation/XCLogParser.git,1786.0,2025.0,True,Tool to parse Xcode and xcodebuild logs stored in the xcactivitylog format,Swift,"swift, swift-package-manager, xcode, xcactivitylog",False,40.0,,,,,,0
modelcontextprotocol/swift-sdk,https://github.com/modelcontextprotocol/swift-sdk.git,862.0,2025.0,True,The official Swift SDK for Model Context Protocol servers and clients.,Swift,"mcp, swift",False,42.0,,,,,,0
mono0926/LicensePlist,https://github.com/mono0926/LicensePlist.git,2481.0,2025.0,True,A license list generator of all your dependencies for iOS applications,Swift,"license, license-management, licenses, ios, settings, swift-package-manager, cli, commandline, xcode, automation, productivity",False,38.0,,,,,,0
mozilla-mobile/firefox-ios,https://github.com/mozilla-mobile/firefox-ios.git,12623.0,2025.0,True,Firefox for iOS,Swift,"swift, browser, ios-app, firefox, mozilla",False,1804.0,,,,,,0
mxcl/PromiseKit,https://github.com/mxcl/PromiseKit.git,14264.0,2025.0,True,Promises for Swift & ObjC.,Swift,"swift, objc, promises",False,15.0,,,,,,0
mxcl/swift-sh,https://github.com/mxcl/swift-sh.git,1853.0,2025.0,True,Easily script with third-party Swift dependencies.,Swift,"swift, scripting",False,21.0,,,,,,0
nalexn/ViewInspector,https://github.com/nalexn/ViewInspector.git,2449.0,2025.0,True,Runtime introspection and unit testing of SwiftUI views,Swift,"swiftui, swiftui-views, unit-testing, runtime-typechecking, best-practices, swift, swift5",False,45.0,12.0,,7.0,13.0,1.0,4
nathantannar4/Transmission,https://github.com/nathantannar4/Transmission.git,872.0,2025.0,True,"Bridges UIKit presentation APIs to a SwiftUI API so you can use presentation controllers, interactive transitions and more.",Swift,,False,5.0,13.0,,,,1.0,3
nerdishbynature/octokit.swift,https://github.com/nerdishbynature/octokit.swift.git,513.0,2025.0,True,A Swift API Client for GitHub and GitHub Enterprise,Swift,"swift, oauth-flow, github-enterprise, octokit, api-client, github, github-api",False,6.0,,,,,,0
nicklockwood/Euclid,https://github.com/nicklockwood/Euclid.git,667.0,2025.0,True,A Swift library for creating and manipulating 3D geometry,Swift,,False,16.0,,,,,,0
